Time (s),NeckFlEx,HeadSideTilt,NeckTors,AngleTorsoTilt,AngleTorsoSideTilt,AngleBackCurve,AngleShoulderAbAdLeft, AngleShoulderFlExLeft,UpArmRotLeft,AngleElbowLeft,AngleLowArmProSupLeft,HandFlExLeft,AngleHandRadDuctLeft,AngleLegLeft,ShoulderAbAdRight,AngleShoulderFlExRight,AngleUpArmRotRight,ElbowRight,AngleLowArmProSupRight,AngleHandFlExRight,HandRadDuctRight,LegRight
0,-151.5165,-89.9193,-1.711517,-214.8374,2.83744,4.442444,-180.8066,3.176135,-2.325164,3.910416,10.03786,-0.3012695,-3.442383,-26.11468,-187.4353,8.93457,-5.158081,2.899078,-0.02463925,-0.2120361,-3.408813,-22.02866
0,-151.4923,-89.86727,-1.735352,-214.8195,2.828148,4.439819,-180.8075,3.229194,-2.340662,3.851837,10.04173,-0.3157959,-3.615295,-26.04433,-187.3939,8.936508,-5.110016,2.909058,-0.02457882,-0.2110901,-3.418854,-21.99725
0,-151.4825,-89.84522,-1.735535,-214.8066,2.815559,4.439148,-180.7686,3.294317,-2.37551,3.817413,10.04219,-0.317688,-3.639832,-25.9738,-187.357,8.938461,-5.139893,2.911346,-0.02428713,-0.2001953,-3.548676,-21.98494
0,-151.4926,-89.83399,-1.687103,-214.7856,2.793274,4.44986,-180.7092,3.403408,-2.208178,3.806,10.03726,-0.2946777,-3.471191,-25.85144,-187.3402,8.941483,-5.123016,2.902725,-0.02410463,-0.1951904,-3.610413,-21.92866
0,-151.5119,-89.82454,-1.638123,-214.7729,2.781258,4.460358,-180.72,3.476432,-2.060183,3.819,10.04213,-0.3113403,-3.713806,-25.77545,-187.366,8.934769,-5.145844,2.891632,-0.02418532,-0.1947327,-3.61438,-21.92752
0,-151.54,-89.82067,-1.595825,-214.7557,2.767479,4.462952,-180.7436,3.550989,-2.146787,3.845322,10.04698,-0.3303223,-3.90448,-25.71861,-187.3369,8.930344,-5.156555,2.877045,-0.02416801,-0.1966248,-3.592072,-21.90538
0,-151.5757,-89.82336,-1.554535,-214.7333,2.748627,4.468781,-180.7331,3.622609,-2.061451,3.883621,10.04513,-0.3200989,-3.871399,-25.65308,-187.2798,8.92984,-5.134827,2.859909,-0.02434625,-0.2024536,-3.520386,-21.86234
0,-151.6154,-89.82401,-1.52063,-214.7105,2.729637,4.487061,-180.7586,3.660783,-2.121758,3.928696,10.03982,-0.3009033,-3.629059,-25.58384,-187.2668,8.929352,-5.168335,2.842209,-0.02462169,-0.2062988,-3.497345,-21.8217
0,-151.684,-89.80595,-1.470123,-214.6545,2.711365,4.521088,-180.8914,3.690455,-2.015612,4.005463,10.03915,-0.295105,-3.633606,-25.45544,-187.3282,8.906448,-5.243134,2.816544,-0.02518994,-0.2122192,-3.470703,-21.76841
0,-151.7382,-89.78851,-1.40686,-214.5906,2.715897,4.545837,-180.941,3.72268,-1.878775,4.05574,10.04493,-0.3146057,-3.928619,-25.36011,-187.295,8.905807,-5.293121,2.802673,-0.0256661,-0.2267456,-3.325012,-21.76688
0,-151.7954,-89.7794,-1.329193,-214.5155,2.722275,4.569397,-180.9401,3.761714,-1.883857,4.104416,10.04484,-0.3121643,-3.936493,-25.27065,-187.2346,8.904343,-5.326202,2.792175,-0.02590249,-0.2520142,-3.044006,-21.78429
0,-151.8496,-89.73813,-1.266998,-214.4435,2.727158,4.583679,-180.9878,3.777402,-1.878923,4.148453,10.04111,-0.2998962,-3.775574,-25.22086,-187.1087,8.907913,-5.393799,2.786224,-0.02605055,-0.2663269,-2.901703,-21.83561
0,-151.9023,-89.58698,-1.203583,-214.3154,2.738876,4.586792,-181.2789,3.732241,-1.799889,4.197037,10.03632,-0.2797546,-3.574249,-25.17577,-186.7172,8.944016,-5.347961,2.79071,-0.02497298,-0.2982483,-2.5159,-21.96359
0,-151.9081,-89.48949,-1.223755,-214.2407,2.757027,4.575806,-181.3391,3.692895,-1.77676,4.208923,10.03399,-0.2702332,-3.466125,-25.14559,-186.59,8.946304,-5.266418,2.801361,-0.02250344,-0.3259583,-2.117432,-22.05104
0,-151.8953,-89.38997,-1.305603,-214.167,2.759888,4.554047,-181.3625,3.633672,-1.828583,4.188065,10.02765,-0.2445679,-3.11087,-25.09777,-186.5865,8.911057,-5.180695,2.822449,-0.01899651,-0.3551331,-1.68396,-22.08879
0,-151.8522,-89.28529,-1.403931,-214.1184,2.74984,4.537201,-181.5529,3.547182,-1.799156,4.093994,10.02692,-0.2417908,-3.069427,-24.99777,-186.6564,8.875198,-5.041565,2.854706,-0.01411511,-0.3822327,-1.21994,-22.03852
0,-151.7835,-89.20572,-1.496338,-214.1095,2.753426,4.524658,-181.7456,3.479416,-1.74774,3.956314,10.03727,-0.2837524,-3.614105,-24.82775,-186.742,8.868576,-4.940857,2.899017,-0.01166475,-0.3963013,-1.011169,-21.92397
0,-151.6871,-89.10125,-1.758911,-214.1788,2.770195,4.499786,-181.8594,3.453661,-2.028363,3.742096,10.0356,-0.2886658,-3.393768,-24.40881,-186.8673,8.909164,-4.667908,2.989243,-0.01333254,-0.3790894,-1.173157,-21.66039
0,-151.6308,-89.04223,-1.873932,-214.2467,2.780449,4.493286,-182.0047,3.490371,-2.198762,3.637817,10.03628,-0.2958374,-3.358673,-24.04485,-186.8949,8.985611,-4.646729,3.066742,-0.01832137,-0.3278198,-1.755371,-21.47938
0,-151.5843,-88.97078,-1.974762,-214.3546,2.751724,4.483093,-182.4061,3.554075,-2.408973,3.597656,10.0564,-0.3706055,-4.144043,-23.66106,-186.7992,9.042007,-4.669281,3.165314,-0.02202393,-0.2574463,-2.579437,-21.34797
0,-151.5617,-88.86128,-2.041321,-214.5371,2.657982,4.476013,-182.9607,3.57971,-2.938688,3.614822,10.06015,-0.3973694,-4.126709,-23.39312,-186.4995,9.057816,-4.684235,3.258759,-0.02099937,-0.1697388,-3.631317,-21.20474
0,-151.5607,-88.78639,-2.034912,-214.6725,2.555084,4.477142,-183.3118,3.516916,-3.164664,3.619034,10.04811,-0.364624,-3.59613,-23.17916,-186.2567,9.050766,-4.767517,3.349136,-0.01650601,-0.1094971,-4.37854,-21.04603
0,-151.6102,-88.74512,-1.925995,-214.9398,2.392868,4.51358,-183.954,3.455588,-2.944565,3.650879,10.04593,-0.3556213,-3.526703,-22.79058,-186.0983,9.004669,-4.843262,3.482285,-0.006932635,-0.03659058,-5.442627,-20.72281
0,-151.6843,-88.78035,-1.819031,-215.1071,2.315239,4.552002,-184.356,3.482172,-2.533838,3.729935,10.04436,-0.3386536,-3.585632,-22.41122,-186.077,8.996109,-4.876953,3.567932,0.001307723,0.006326805,-5.787689,-20.54363
0,-151.7895,-88.83604,-1.679932,-215.2777,2.257362,4.601379,-184.8132,3.519364,-2.235825,3.87793,10.03939,-0.3093567,-3.500824,-22.068,-186.1281,8.99675,-4.829803,3.646683,0.007446289,0.03378855,-6.179291,-20.37077
0,-151.9297,-88.92564,-1.572815,-215.4379,2.18924,4.656555,-185.4211,3.556058,-2.250353,4.130753,10.04099,-0.3089294,-3.644287,-21.78753,-186.1073,9.020737,-4.801422,3.725403,0.01202393,0.05295658,-6.392487,-20.18217
0,-152.2411,-89.39936,-1.580444,-215.6213,2.05619,4.723602,-186.4073,3.586432,-3.284238,4.758606,10.04387,-0.3321838,-3.628387,-21.2484,-185.8466,9.150482,-4.749298,3.844254,0.01739502,0.07336486,-6.621918,-20.21563
0,-152.517,-89.81007,-1.619781,-215.7026,2.007927,4.752167,-187.3022,3.40243,-4.070981,4.840607,10.03977,-0.3330688,-3.273285,-20.9217,-185.6643,9.261169,-4.726288,3.91246,0.02148438,0.08801949,-6.846588,-20.35267
0,-152.8632,-90.41621,-1.68808,-215.8872,1.897873,4.831818,-190.046,2.830407,-4.508932,4.581131,10.04439,-0.3501587,-3.45224,-20.72598,-185.3555,9.357437,-4.74823,3.984421,0.02868652,0.1112905,-7.155457,-20.48813
0,-153.1569,-90.86179,-1.683655,-215.9203,1.840256,4.833405,-191.4263,2.410946,-4.029249,4.146851,10.07248,-0.4170227,-4.712341,-20.63049,-185.0291,9.441223,-4.767181,4.054825,0.03186035,0.1209965,-7.313171,-20.50371
0,-153.6521,-91.5911,-1.384277,-215.9189,1.856392,4.815918,-191.8505,2.154314,-2.537333,3.553253,10.06846,-0.3807373,-4.910706,-20.47552,-184.8852,9.552765,-4.71701,4.166641,0.02838135,0.1103734,-7.15097,-20.63319
0,-153.7983,-91.82189,-1.210358,-215.9052,1.858208,4.794067,-191.5672,2.443044,-0.9359789,3.549103,10.05553,-0.3129883,-4.884003,-20.30265,-184.876,9.543991,-4.634094,4.233826,0.02389526,0.09616823,-6.934235,-20.85692
0,-153.8746,-91.95725,-1.118439,-215.8705,1.823669,4.754883,-191.1386,2.856841,0.5053272,3.818588,10.05736,-0.296814,-5.334137,-19.97192,-184.9231,9.494354,-4.542023,4.30275,0.01580811,0.06821145,-6.499298,-21.01665
0,-153.9188,-92.1106,-1.06131,-215.835,1.773186,4.712494,-190.458,3.231436,1.507358,4.055313,10.04847,-0.2546997,-5.263184,-19.61352,-185.1509,9.399612,-4.489624,4.366058,0.007385254,0.03430476,-6.044098,-21.08438
0,-153.9435,-92.385,-1.123932,-215.7773,1.672234,4.644257,-189.3304,3.452754,1.123803,4.449554,10.02786,-0.1894226,-4.094452,-19.00014,-185.6145,9.282349,-4.413971,4.473923,-0.004142256,-0.02191162,-5.40741,-21.19466
0,-153.9463,-92.65456,-1.250427,-215.7418,1.622482,4.606293,-188.8701,3.272315,0.1057491,4.702271,10.01907,-0.1682129,-3.150726,-18.28382,-185.7928,9.240387,-4.349518,4.540314,-0.007288123,-0.04217529,-4.928864,-21.31233
0,-154.0041,-93.19151,-1.488159,-215.6839,1.575287,4.578552,-188.4387,3.065863,-1.158391,4.994736,10.01748,-0.1838989,-2.632111,-17.95387,-185.918,9.185349,-4.29303,4.610199,-0.01067052,-0.06735229,-4.537994,-21.49627
0,-154.4097,-94.1703,-1.80304,-215.5439,1.524117,4.57666,-187.9542,2.39122,-2.487438,5.322998,10.02039,-0.2263794,-2.47934,-19.03712,-185.8022,9.205978,-4.211273,4.668793,-0.0131099,-0.09088135,-4.155365,-21.69551
0,-155.3103,-95.74541,-2.158142,-215.3078,1.435402,4.584198,-187.9438,1.585232,-4.0516,5.521759,10.00742,-0.1870422,-1.00824,-20.18335,-185.5798,9.275162,-4.167145,4.73085,-0.01491497,-0.1115723,-3.84967,-21.94199
0,-155.9754,-96.95324,-2.285156,-215.0833,1.401993,4.565369,-187.8295,1.090381,-4.509485,5.278961,9.99902,-0.09225464,0.3635688,-20.77673,-185.8341,9.210724,-4.203033,4.768906,-0.0177226,-0.1882935,-2.797668,-22.02005
0,-156.2089,-97.44701,-2.21463,-214.9427,1.379852,4.547943,-187.2206,1.090201,-3.988436,5.036606,9.99897,-0.03649902,0.9328885,-20.89367,-186.1631,9.111374,-4.2836,4.784134,-0.01649146,-0.2419128,-2.056366,-22.16332
0,-156.2355,-97.50842,-2.200745,-214.8927,1.374451,4.545624,-187.0938,1.137976,-3.872025,4.90892,9.999015,-0.02761841,1.062543,-20.92056,-186.2188,9.08667,-4.305511,4.789383,-0.01619313,-0.2488098,-1.964111,-22.26522
