Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
3.954185,-6.244166,76.19483,14.7595,-3.31631,-11.17687,-20.99745,-0.00217883,0.01978234,10.52523,-23.99961,-47.11745,22.89648,3.604229,1.140381,-41.58956,-0.04492215,0.1153499,16.95064,-5.564712,-25.85977,3.010059,3.013568,80.687,-14.27485,3.74752,16.57902,-16.90687,6.852775,-1.227337,78.56221,-23.9266,4.31048,7.52097,-43.77468,-10.31425,-4.03551,-7.103021,10.80797,26.24872,-1.285947,-4.402598,-8.895784,8.16657,-4.494319,76.98313,-31.59967,11.69993,-19.89469,-49.41582,-15.65623
4.148126,-6.187496,78.45596,13.69388,-2.985305,-14.43867,-18.12549,-0.001352377,0,8.847888,-25.44957,-49.36443,23.49391,2.961283,-0.4015385,-42.30217,-0.06937423,0.1780411,16.52076,-5.707921,-27.12397,2.982225,3.027898,82.90692,-14.10369,3.811587,16.53374,-16.90826,6.98098,-1.045996,78.62347,-23.97739,4.369105,7.831405,-43.74361,-10.56975,-4.01005,-7.653691,12.02633,26.41084,-1.269411,-4.489168,-9.111928,8.208534,-4.695202,77.14867,-31.66278,11.79096,-21.00494,-49.66592,-15.91343
4.313751,-6.084947,80.89519,12.64412,-2.621823,-16.81579,-15.66503,-0.000812793,0,7.229088,-26.40168,-51.18179,24.07825,2.247576,-2.01334,-42.97826,-0.1106491,0.2797648,15.82825,-6.030087,-28.2527,3.028537,2.897913,85.3271,-13.86835,3.811683,16.40597,-16.79304,6.978507,-1.307264,78.85098,-23.56487,4.728908,7.981533,-43.56706,-10.89847,-3.731664,-7.928429,13.11518,26.64236,-1.154432,-4.561882,-9.30037,8.371703,-4.970779,77.40797,-31.66998,11.91315,-21.05581,-49.81949,-15.75185
4.392889,-6.016837,82.17989,12.2009,-2.508879,-17.71869,-14.77468,-0.000724,0,6.070215,-26.73987,-53.32204,24.36143,1.904448,-2.763642,-43.28545,-0.1346913,0.3380413,15.29818,-6.203861,-28.87555,3.088828,2.804414,86.61789,-13.74479,3.778543,16.31696,-16.86491,6.907114,-1.23651,79.0916,-23.48542,4.788516,8.057613,-43.43707,-11.15256,-3.544255,-7.967751,13.5987,26.75365,-1.080591,-4.596786,-9.387409,8.491719,-5.13439,77.57499,-31.65662,11.93405,-21.25493,-49.95447,-15.72467
4.607001,-5.889194,84.88718,11.49883,-2.562346,-18.99445,-13.69767,-0.000607887,0,5.497293,-26.23718,-53.92679,24.97834,1.361004,-4.007266,-43.86224,-0.1953639,0.4833549,13.92498,-6.532352,-30.3873,3.256542,2.627471,89.33801,-13.54751,3.679191,16.13483,-16.87983,6.660971,-0.9620117,79.43425,-23.36964,4.860912,8.28771,-43.15078,-11.61445,-3.061134,-8.012283,14.46847,26.89907,-0.9540408,-4.673363,-9.550305,8.732844,-5.49055,77.95116,-31.58996,12.00505,-21.67842,-50.28217,-15.5942
4.705653,-5.80338,87.78605,11.08347,-2.75092,-19.15638,-13.39845,-0.000601057,0,5.9147,-24.8744,-54.48967,25.47413,0.6506028,-5.414211,-44.10826,-0.231038,0.5685511,12.1525,-6.518787,-31.54276,3.461249,2.471292,92.58548,-13.08081,3.551835,15.95636,-16.78218,6.270135,-0.1688764,79.59824,-23.28758,4.83578,8.708315,-42.93121,-11.87727,-2.664988,-7.896785,14.8886,27.25455,-0.8758557,-4.768428,-9.603327,8.930368,-6.164013,78.29816,-31.51891,12.16886,-21.21977,-50.6073,-14.70757
4.768469,-5.737004,89.28417,10.8328,-2.901867,-18.94131,-13.2435,-0.000594227,0,6.25376,-23.91382,-54.60511,25.62341,0.3247209,-6.127655,-44.07592,-0.2420209,0.5961047,11.22035,-6.482935,-32.23433,3.535627,2.42678,94.07407,-13.0563,3.50011,15.9145,-16.72421,6.080444,0.04697121,79.66909,-23.24163,4.819304,8.96574,-42.87075,-11.92661,-2.50546,-7.820014,15.26385,27.20402,-0.8757122,-4.831119,-9.658564,8.979667,-6.284853,78.4241,-31.49474,12.21779,-21.03283,-50.73191,-14.37957
4.87335,-5.591992,92.34266,10.3224,-3.290211,-18.45975,-12.97513,-0.000587396,0,7.251172,-21.80577,-53.53008,25.79865,-0.3625601,-7.713044,-43.76711,-0.2615621,0.6495153,9.277182,-6.261795,-33.43247,3.583373,2.300619,97.11911,-13.02112,3.454983,15.85162,-16.5275,5.76412,0.3970935,79.77282,-23.07207,4.750565,9.301004,-42.71797,-12.157,-2.359994,-7.670637,16.03429,27.10162,-0.8974732,-4.856517,-9.623715,9.053885,-6.395516,78.58916,-31.49141,12.30145,-20.83727,-50.86098,-13.9524
4.816173,-5.574377,95.5018,10.3654,-3.693158,-17.61069,-13.53095,-0.00071717,0,8.549526,-19.80648,-51.17583,26.05659,-1.010328,-8.889997,-43.25018,-0.3037317,0.7643827,7.527438,-5.960597,-35.00379,3.553414,2.073147,100.2578,-12.98026,3.524835,15.81688,-16.22576,5.568311,0.5503972,79.81824,-22.73968,4.709357,9.371819,-42.6089,-12.38173,-2.223784,-7.586045,16.80633,27.04936,-0.8599413,-4.7674,-9.262213,9.26775,-6.312222,78.54546,-31.58906,12.36863,-20.66492,-50.83477,-13.81179
4.814057,-5.573066,97.10642,10.53626,-3.945349,-16.94148,-14.00542,-0.000819623,0,9.041529,-18.69631,-50.02053,26.2077,-1.283345,-9.402201,-42.9617,-0.3219341,0.8161334,6.671885,-5.77567,-35.813,3.535073,1.945067,101.8342,-12.96452,3.570427,15.79851,-16.07069,5.508403,0.5116085,79.76411,-22.53482,4.642622,9.476602,-42.49624,-12.65348,-2.174389,-7.562276,17.21326,27.0147,-0.8544362,-4.720616,-9.101246,9.331635,-6.186806,78.52168,-31.66265,12.40626,-20.54379,-50.86238,-13.64319
